Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
HIG,Financial ,-2.640618485332016,0.08488942486900936,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.7698333892640555,0.01,5,0.347,0.463,0.574,0.739,549.6495647063582,339.7234791053864,8.6607,7.6808,91.3393,1152.3081330873638,952.6293477933344,15.0879,16.8667,84.9121,85,18,19
HON,Industrials,-1.684888452127917,0.4389147363769579,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.493948337797784,0.01,6,0.347,0.463,0.574,0.739,948.5405565351266,737.723730427772,8.1088,7.8414,91.8912,1403.807670522727,1303.0881436073535,13.9536,15.1427,86.0464,85,18,19
HPQ,Information Technology,-1.44685919888998,0.5596166885176529,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.4144388361713281,0.07093153613304824,6,0.347,0.463,0.574,0.739,2918.4590783214926,2489.3344227054026,18.1045,18.6959,81.8955,1406.0133218959236,1078.9323320874955,7.0567,7.3767,92.9433,85,18,19
HSY,Consumer Staples,2.539330295889013,0.9990614454678706,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.691042500225299,0.01,6,0.347,0.463,0.574,0.739,211.946532608183,199.5239388505451,10.2196,10.8313,89.7804,653.6413826400385,582.0804223368741,21.4827,24.6591,78.5173,85,18,19
HUM,Healthcare,2.6439578964179247,0.999081997855692,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6848727725415984,0.01,6,0.347,0.463,0.574,0.739,2843.1852925249636,1896.151621302479,10.9399,12.3137,89.0601,2346.3174744051457,1985.0771679193074,7.8821,7.8177,92.1179,85,18,19
HWM,Industrials,-1.9662531975033746,0.3015630301907568,9,36,-3.626651907578875,-2.9459512825788754,-2.6116707716049383,0.7013074358548851,0.01342659674046499,3,0.347,0.463,0.574,0.739,6151.91289420702,4987.474106903395,221.9318,85.5779,-121.9318,484.79425058042693,411.7967096381343,24.2313,28.4134,75.7687,9,18,19
IBM,Information Technology,-0.5725497805274643,0.8770648033589269,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,0.6226474861544337,0.020577501258687847,6,0.347,0.463,0.574,0.739,710.878183645747,586.6762782256264,3.1286,3.0656,96.8714,5327.7211702529185,4071.84100322107,50.0918,26.2941,49.9082,85,18,19
IFF,Materials,0.26697572862917435,0.9757775743028376,6,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.2256055656733782,0.01,6,0.347,0.463,0.574,0.739,337.68897470413054,260.1298828527721,21.8033,26.281,78.1967,1590.1682700385545,1536.7178953978735,52.3794,72.4432,47.6206,85,18,19
INTC,Information Technology,-1.7223344595510715,0.41964337930015005,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.5758477660919599,0.01,6,0.347,0.463,0.574,0.739,3673.7972660541395,3193.23160169872,17.6412,19.8325,82.3588,4207.267777343495,3686.5241637540817,26.8327,22.7484,73.1673,85,18,19
IP,Consumer Discretionary,-2.4706933472085546,0.12276873795723642,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.41963990577785265,0.06868969578540834,5,0.347,0.463,0.574,0.739,375.3229999215786,304.5536098747768,5.6171,5.6814,94.3829,778.6626589004219,529.4052259256098,12.5194,11.0377,87.4806,85,18,19
IPG,Communication Services,-1.52250201050469,0.5223520083906298,13,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,1.6398770552403883,0.01,6,0.347,0.463,0.574,0.739,347.479788335308,267.0353268086626,10.9428,11.969,89.0572,691.2358104381119,652.5894309673774,24.4028,28.2329,75.5972,85,18,19
ITW,Industrials,-2.2208200244945475,0.1987759481548531,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.2209966834661627,0.01,6,0.347,0.463,0.574,0.739,334.4657925329302,287.61534744767044,8.4728,8.591,91.5272,796.7729471505141,778.7084642616937,19.8882,22.1696,80.1118,85,18,19
JNJ,Healthcare,-0.8279135611484483,0.8107848643361838,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.8071267249955474,0.01,6,0.347,0.463,0.574,0.739,1887.4881648434362,1644.5039657043988,8.1037,8.5533,91.8963,1778.0058637966588,1391.3063005010467,6.0218,6.2791,93.9782,85,18,19
JPM,Financial ,0.9948250869178666,0.9942110460096202,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,1.4498759531007435,0.01,6,0.347,0.463,0.574,0.739,6591.398223415091,5705.21773536356,17.2171,19.3571,82.7829,23793.588666748972,18569.088649281653,30.2862,39.1838,69.7138,85,18,19
K,Consumer Staples,-1.8596835264627438,0.35125830686619886,13,108,-3.4924012594942333,-2.8886968193364835,-2.5812552709190673,1.54506435680692,0.01,6,0.347,0.463,0.574,0.739,98.30789543466001,84.05036471702243,2.5244,2.5228,97.4756,236.02218832861993,206.5720125193346,6.0052,6.0341,93.9948,85,18,19
KEY,Financial ,-0.4122673341033911,0.9080303354501879,2,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,0.3617578669844176,0.09363885043775104,6,0.347,0.463,0.574,0.739,650.0711999406715,617.8678785166124,35.3505,43.7426,64.6495,639.6448684941718,500.9917489998794,20.2313,23.9108,79.7687,85,18,19
